07-31-2019 11:57:38.233,-,API,"D200K,0013A200417E381A,XBee PRO 900HP 200K,8075,COM11 - 9600/8/N/1/N,3"
07-30-2019 21:25:20.538,30,RECV,7E0059900013A200417E3816FFFE410000004A000049E012442B947C27871FF1F6C164B52FFFA0B16CA0B33C9B45C0B06CA0B12CA0B06CA12B06C9B88C9B25C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B90C100361B23C55B36C1670
07-30-2019 21:25:20.638,31,RECV,7E0059900013A200417E3816FFFE410000004B000149E012442B947C27871FF1F6C164B52FFFA0B16CA0B33C9B45C0B06CA0B12CA0B06CA12B06C9B88C9B25C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B90C100361B23C55B36C166E
07-30-2019 21:25:21.898,32,RECV,7E006C900013A200417E3816FFFE410000004C000040E012442B947C33689FF1F6C164B52FFFA0B14CAFB33C9B46C0B00C0B00C0B00CA11B69C8B75C9B69C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B92C100362B81C55B31C164B27C8823B00AA000000000000000000000000006F
07-30-2019 21:25:21.998,33,RECV,7E0058900013A200417E3816FFFE410000004D000040E012442B947C33689FF1F6C164B52FFFA0B14CAFB33C9B46C0B00C0B00C0B00CA11B69C8B75C9B69C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B92C100362B81C55B31C160F
07-30-2019 21:25:22.098,34,RECV,7E0059900013A200417E3816FFFE410000004E000148E012442B947C33689FF1F6C164B52FFFA0B14CA0B33C9B46C0B00C0B00C0B00CA11B69C8B75C9B69C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B92C100362B81C55B31C164BC9
07-30-2019 21:25:27.088,35,RECV,7E0071900013A200417E3816FFFE410000004F000049E012442B947C35134FF1F6C164B52FFFA0B17CA0B34C9B46C0B06C0B00C0B06CA11B69C8B00C9B25C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B93C100363B30C55B43C164B23C8815B00AA00000000000000000000000000000000000078
07-30-2019 21:25:32.097,36,RECV,7E0059900013A200417E3816FFFE4100000050000040E012442B947C35134FF1F6C164B52FFFA0B17CAFB34C9B46C0B06C0B00C0B06CA11B69C8B00C9B25C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B93C100363B30C55B43C164BE2
07-30-2019 21:25:32.197,37,RECV,7E0059900013A200417E3816FFFE4100000051000049E012442B947C35134FF1F6C164B52FFFA0B17CA0B34C9B46C0B06C0B00C0B06CA11B69C8B00C9B25C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B93C100363B30C55B43C164BE7
07-30-2019 21:25:32.297,38,RECV,7E0059900013A200417E3816FFFE4100000052000149E012442B947C35134FF1F6C164B52FFFA0B17CA0B34C9B46C0B06C0B00C0B06CA11B69C8B00C9B25C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B93C100363B30C55B43C164BE5
07-30-2019 21:25:37.247,39,RECV,7E0072900013A200417E3816FFFE4100000053000049E012442B947C45005FF1F6C164B52FFFA0B16CA0B32C9B46C0B06C0B00CA0B06CA11B69C8B75C10B06C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B94C100364B59C55B24C164B12C8833B00AA00000000000000000000000000000000000080
